Obs,RegOut1,ClassLabel,RegOut2,TimeTouchBps,Input1,Input2,Input3,Input4,Input5
202,76.1252,FALSE,212.1,5.843,0.473684211,0.375,23.58,60.6877,0
203,119.664,FALSE,96.37,1.5447,0.409090909,0,9.1,21.9446,0
204,177.7147,TRUE,166.36,1.8582,0.909722222,0,14.47,34.0926,2.54
205,81.4432,FALSE,384.68,3.3385,0.113445378,0,1.03,31.1079,3.85
206,197.8165,TRUE,187.67,3.9003,0.775609756,0,48.45,124.6815,17.75
207,180.9071,TRUE,20.52,1.2156,1,0,0,0,0
208,111.6489,FALSE,41.84,0.7489,0.757575758,0,12.46,32.0663,0
209,110.1,FALSE,203.92,1.3447,0.434782609,0,0,0,26.95
210,58.7281,FALSE,21.17,0.119,0.531914894,0,0,0,0
211,110.0988,FALSE,191.44,3.2891,0.859060403,0,0,0,5.98
212,60.8448,FALSE,147.51,0.72,0.595505618,0.48275,0,0,4.07
213,87.5686,FALSE,29.75,0.3181,0.898989899,0,0,0,3.14
214,112.514,FALSE,415.44,3.8357,0.709090909,0.04687,19.68,50.6362,28.66
215,64.3271,FALSE,76.58,0.7791,0.666666667,0,0,0,3.07
216,164.4296,TRUE,44.7,5.3609,0.6,0,10.64,27.3977,3.8
217,81.4826,FALSE,21.67,0.2686,0.92,0,8.38,21.5846,0.62
218,89.7014,FALSE,38.46,0.7077,0.727272727,0,0.83,25.1184,0.18
219,89.6429,FALSE,147.47,0.536,0.877906977,0,8.76,19.8558,3.1
220,134.9299,FALSE,52.85,5.0187,0.75,0.75,6.7,17.2406,0
221,102.9937,FALSE,292.78,1.9853,0.663793103,0,31.87,72.195,48.86
222,130.0447,FALSE,117.98,1.2077,0.209039548,0,0,0,0.95
223,152.4688,TRUE,1662.09,5.4174,0.787148594,0.03095,40.88,105.1977,32.41
224,136.4519,FALSE,91.06,0.4421,0.720930233,0.44444,0,0,0.18
225,116.4725,FALSE,48.7,3.012,0.4375,0,0,0,3.78
226,74.2268,FALSE,19.62,0.3172,0.888888889,0.8,9.08,23.3837,0
227,122.1576,FALSE,120.88,3.9134,0.552631579,0.35294,7.92,17.9434,0
228,102.1844,FALSE,265.76,0.8542,0.876876877,0,25,56.6261,21.04
229,76.8996,FALSE,388.62,0.747,0.171755725,0,57.01,146.6851,8.06
230,171.0321,TRUE,3.82,0.0669,0,0,0.82,2,0
231,107.097,FALSE,33.78,2.6298,0.6,0,0,0,1.59
232,232.4657,TRUE,415.77,3.9854,0.88,0.03529,33.29,85.6743,34.86
233,277.5695,TRUE,641.3,3.429,0.837209302,0.02429,0,0,14.39
234,105.4302,FALSE,45.83,0.3523,0.75,0.23076,8.47,21.8123,3.03
235,98.7902,FALSE,1354.03,1.1399,0.711839166,0.02839,56.14,116.4606,24.55
236,99.1031,FALSE,94.17,0.7513,0.855421687,0,0,0,15.4
237,87.6117,FALSE,168.14,2.4742,0.5,0,0,0,0
238,35.2638,FALSE,480.48,1.9548,0.576642336,0,86.76,223.2681,0
239,180.8536,TRUE,143.03,6.4131,0.6875,0,0,0,0.65
240,44.4283,FALSE,1653.29,0.6334,0.870577281,0.90462,42.16,82.5993,28.59
241,81.2957,FALSE,776.75,0.7016,0.488288288,0,87.84,217.0341,33.54
242,98.7917,FALSE,289.13,5.9174,0,0,29.03,74.708,3.4
243,74.7579,FALSE,472.98,14.0675,0.848484848,0,9.12,23.4823,17.03
244,92.9662,FALSE,74.72,0.2703,0.862275449,0.64912,0,0,0.51
245,199.586,TRUE,578,24.3755,0.461538462,0,13.95,35.9101,37.13
246,116.7096,FALSE,49.75,2.1433,0.742424242,0,14.65,37.7158,1.28
247,87.4422,FALSE,14.63,0.0575,0.666666667,0.375,0,0,0
248,298.3568,TRUE,121.86,14.8765,0,0,0,0,0.32
249,82.4266,FALSE,66.71,0.593,0.71875,0,0,0,0
250,32.817,FALSE,1161.99,0.5816,0.854471545,0.77039,103.56,234.5864,29.92
251,104.5711,FALSE,99.42,2.1577,0.565217391,0,0,0,45.3
252,132.1025,FALSE,236.6,28.2051,0.837209302,0,0,0,2.82
253,55.5958,FALSE,971.57,3.4913,0.447368421,0.03703,0,0,5.46
254,37.2452,FALSE,1533.14,5.0633,0.409937888,0.02409,0,0,0.32
255,115.3232,FALSE,28.04,0.2921,0.701492537,0.73913,0,0,0.67
256,52.9665,FALSE,1588.42,1.9027,0.420262664,0,41.77,94.6191,83.41
257,31.516,FALSE,1070.43,1.4628,0.081312411,0.62711,158.46,413.7787,14.82
258,81.6136,FALSE,135.6,0.2784,0.878787879,0.22058,18.82,48.4223,6.09
259,117.4081,FALSE,1788.84,1.0217,0.268356643,0,107.63,265.6938,29.94
260,133.1076,FALSE,4.45,0.4526,1,1,0,0,0
261,161.9088,TRUE,134.35,3.4952,0.709677419,0.0196,0,0,4.35
262,48.096,FALSE,4511.77,0.911,0.489810138,0.7037,147.75,380.1712,100.79
263,44.7049,FALSE,11501.62,1.6543,0.119055168,0.47561,622.67,1410.3622,64
264,108.6136,FALSE,398.44,5.2178,0.615384615,0,3.78,8.5838,0.46
265,203.9178,TRUE,115.9,12.6907,0.722222222,0.78947,0,0,0.5
266,59.0352,FALSE,3300.4,1.2286,0.501761804,0.80346,0,0,39.01
267,73.4373,FALSE,498.99,0.7707,0.533947066,0,46.36,105.0159,21.53
268,102.2663,FALSE,343.97,3.0542,0.75,0.07058,11.2,28.8417,0.65
269,116.585,FALSE,21.99,0.2309,0.685714286,0,0,0,0
270,91.5066,FALSE,227.02,3.2897,0.714285714,0.15384,26.14,67.2651,8.36
271,89.5382,FALSE,511.01,6.102,0.775510204,0.50666,75.95,183.8934,3.4
272,103.4993,FALSE,203.83,5.3605,0.830508475,0.625,3.4,8.7648,0.32
273,67.7031,FALSE,35.91,0.2145,0.851851852,0.92857,3.89,10.0139,0.62
274,79.4701,FALSE,58.25,0.7771,0.625,0,0,0,0
275,45.2362,FALSE,382.26,0.9608,0.825757576,0,23.54,53.3398,12.06
276,94.9755,FALSE,534.73,7.2515,0.837209302,0,18.27,41.3882,47.82
277,87.1733,FALSE,642.09,1.7927,0.19160105,0.04,50.53,130.0337,0.62
278,142.657,FALSE,145.06,2.9588,0.893939394,0.78431,11.24,25.4648,16.08
279,79.2448,FALSE,466.76,4.6689,0.036036036,0,16.08,36.429,4.56
280,56.2281,FALSE,45799.33,0.5155,0.674561587,0,320.8,478.9263,2665.08
281,43.0082,FALSE,11343.81,1.5049,0.545409429,0,0,0,877.31
282,88.8691,FALSE,978.98,0.4628,0.264478764,0.12121,0,0,35.74
283,167.3124,TRUE,51.17,0.6679,0,0,0,0,0
284,95.7711,FALSE,65.41,1.7563,0.787878788,0.93333,15.12,32.3476,0
285,128.9503,FALSE,36.6,2.0409,0.75,0,0,0,4.16
286,101.6786,FALSE,878.09,2.1968,0.890183028,0.05063,18.49,47.5806,18.03
287,35.1081,FALSE,379.52,0.3156,0.853820598,0,24.13,62.086,6.39
288,86.3325,FALSE,552.73,0.8821,0.766467066,0.19108,0,0,6.77
289,108.8589,FALSE,34.06,0.3807,0.945454545,0.08333,0,0,0.95
290,79.9141,FALSE,6770.72,3.8087,0.443450606,0.01979,0,0,243.19
291,84.1891,FALSE,157.78,1.1773,0.888888889,0,0,0,6.63
292,68.7183,FALSE,1615.82,1.9435,0.529616725,0.13662,104.51,253.5368,24.21
293,105.5753,FALSE,146.64,0.9165,0.90237467,0.5,21.64,55.6968,0.99
294,81.0026,FALSE,72.28,0.9898,0.171428571,0,0,0,5.56
295,62.2786,FALSE,22.36,0.9132,0.906976744,0,0,0,7.45
296,99.6489,FALSE,79.27,2.1244,0.675675676,0,0,0,28.69
297,71.205,FALSE,93.71,0.9208,0.826530612,0,0,0,3.08
298,58.461,FALSE,717.45,1.5541,0.648578811,0,89.61,195.4148,26.64
299,64.3533,FALSE,222.92,0.6901,0.086330935,0,22.52,57.9659,1.67
300,29.1664,FALSE,857.3,0.8566,0.761702128,0.75,75.28,158.1592,47.79
301,37.2918,FALSE,369.68,1.1691,0.965,0,0,0,1.59
302,119.1946,FALSE,923.61,3.5526,0.853727145,0,215.87,488.9554,1.91
303,80.9307,FALSE,202.44,0.7002,0.857894737,0.8924,72.18,185.7317,15.14
304,92.0227,FALSE,475.56,1.5958,0.670454545,0.14393,0,0,13.35
305,233.5145,TRUE,48.77,2.7085,0.727272727,0,13.74,35.3724,0.65
306,68.0233,FALSE,762.69,1.1916,0.874263261,0.54325,17.76,45.7064,20.52
307,120.8151,FALSE,334.68,3.7853,0.834801762,0.67346,46.51,119.689,6.74
308,59.6014,FALSE,886.37,1.1253,0.778151261,0.68944,71.7,172.7669,17.73
309,24.9834,FALSE,894.56,1.1973,0.658374793,0,60.83,156.5256,19.77
310,64.6424,FALSE,58.41,0.2035,0.777777778,0.92307,22.07,91.1267,0.18
311,146.4517,FALSE,98.43,4.0783,0.767857143,0,11.82,26.7884,0.18
312,64.0802,FALSE,483.1,1.1823,0.838461538,0.82312,2.33,5.2943,0.32
313,90.6494,FALSE,144.43,2.7048,0.814814815,0,33.64,86.5663,0
314,90.6127,FALSE,200.92,0.694,0.925,0,72.88,174.003,0
315,77.3453,FALSE,374.73,0.7281,0.135951662,0,55.05,138.1656,8.6
316,114.0896,FALSE,798.54,1.0939,0.010526316,0.03703,17.76,59.7516,1.09
317,86.2956,FALSE,187.24,0.4416,0.828092243,0,19.2,49.3998,1.28
318,97.5224,FALSE,42.27,1.4545,0.571428571,0.4,0.82,2,0
319,37.4048,FALSE,826.81,1.7445,0.1937046,0,113.92,268.6376,12.9
320,87.1627,FALSE,2189.1,0.5445,0.861957226,0.03245,4.61,10.4446,32.17
321,43.5834,FALSE,98.29,0.5026,0.928571429,0,6.01,11.7803,0
322,95.4673,FALSE,214.1,1.7986,0.764705882,0,12.97,43.6449,3.19
323,372.4505,TRUE,159.35,0.8223,0.755555556,0.81739,16.79,43.2036,3.82
324,37.0707,FALSE,3747.49,1.4133,0.108188586,0.68241,178.97,350.5866,43.61
325,44.7651,FALSE,2491.69,4.9807,0.462219599,0.02672,92.78,181.7437,9.35
326,89.9741,FALSE,170.62,0.4887,0.677419355,0.55862,12.46,32.0663,6.24
327,16.9058,FALSE,16784.3,0.5883,0.292915791,0,132.75,300.6969,156.58
328,102.1544,FALSE,235.25,1.104,0.833333333,0,28.35,64.2244,10.7
329,73.9135,FALSE,1577.41,0.5072,0.094269871,0.02564,31.4,71.1291,46.26
330,199.5019,TRUE,74.57,1.9217,0.865546218,0,20.47,46.3664,0.18
331,118.6987,FALSE,146.77,1.5297,0.781512605,0.49206,16.84,43.3489,7.73
332,81.3947,FALSE,30.76,0.3653,0.904761905,0.90909,0,0,0
333,51.1444,FALSE,1350.96,1.1087,0.756968641,0.34979,74.18,168.0242,12.77
334,82.6506,FALSE,37.53,0.7036,0.833333333,0.63636,0,0,0
335,76.0737,FALSE,75.02,0.4271,0.757575758,0,0,0,6.45
336,196.5057,TRUE,469.09,3.5365,0.445255474,0,13.75,34.4978,0.32
337,35.3298,FALSE,2947.38,1.1206,0.466563388,0,0,0,79.88
338,134.5932,FALSE,703.62,12.2746,0.114942529,0,0,0,6.13
339,76.1559,FALSE,287.88,1.2281,0.739130435,0.8913,0,0,16.57
340,121.0931,FALSE,72.8,1.9348,0.953125,0,65.87,169.4827,0
341,44.4303,FALSE,766.56,1.3683,0.869218501,0.84816,41.55,94.1225,17.46
342,92.9056,FALSE,43.83,0.3326,0.821917808,0,0,0,6.61
