DATE,USERS
12/08/2018,88285
12/09/2018,60024
12/10/2018,127605
12/11/2018,129118
12/12/2018,127929
12/13/2018,126194
12/14/2018,123444
12/15/2018,91842
12/16/2018,59943
12/17/2018,127005
12/18/2018,131178
12/19/2018,127136
12/20/2018,130381
12/21/2018,124862
12/22/2018,92608
12/23/2018,56195
12/24/2018,94449
12/25/2018,82394
12/26/2018,127873
12/27/2018,147238
12/28/2018,137217
12/29/2018,99044
12/30/2018,63252
12/31/2018,117364
01/01/2019,109059
01/02/2019,149834
01/03/2019,154616
01/04/2019,147286
01/05/2019,116909
01/06/2019,81143
01/07/2019,165314
01/08/2019,159665
01/09/2019,156541
01/10/2019,155782
01/11/2019,150787
01/12/2019,106271
01/13/2019,70489
01/14/2019,143887
01/15/2019,155515
01/16/2019,153717
01/17/2019,152342
01/18/2019,152024
01/19/2019,113064
01/20/2019,74158
01/21/2019,125855
01/22/2019,140500
01/23/2019,125846
01/24/2019,141141
01/25/2019,136034
01/26/2019,97999
01/27/2019,63010
01/28/2019,126120
01/29/2019,138560
01/30/2019,149293
01/31/2019,160342
02/01/2019,155368
02/02/2019,105481
02/03/2019,74825
02/04/2019,149224
02/05/2019,163320
02/06/2019,152130
02/07/2019,141872
02/08/2019,138147
02/09/2019,108218
02/10/2019,75829
02/11/2019,141324
02/12/2019,148889
02/13/2019,155875
02/14/2019,145832
02/15/2019,150884
02/16/2019,121549
02/17/2019,77742
02/18/2019,138079
02/19/2019,148724
02/20/2019,155132
02/21/2019,149746
02/22/2019,146625
02/23/2019,119519
02/24/2019,79772
02/25/2019,149839
02/26/2019,156536
02/27/2019,146110
02/28/2019,150070
03/01/2019,152367
03/02/2019,119991
03/03/2019,83198
03/04/2019,146997
03/05/2019,143617
03/06/2019,146510
03/07/2019,142359
03/08/2019,139904
03/09/2019,109527
03/10/2019,74016
03/11/2019,148755
03/12/2019,155295
03/13/2019,153244
03/14/2019,153716
03/15/2019,154607
03/16/2019,119541
03/17/2019,79042
03/18/2019,152236
03/19/2019,160080
03/20/2019,150080
03/21/2019,151048
03/22/2019,152676
03/23/2019,112170
03/24/2019,75128
03/25/2019,145812
03/26/2019,155408
03/27/2019,162236
03/28/2019,152131
03/29/2019,155251
03/30/2019,115895
03/31/2019,84103
04/01/2019,139433
04/02/2019,174332
04/03/2019,161230
04/04/2019,159502
04/05/2019,161097
04/06/2019,121939
04/07/2019,81080
04/08/2019,173996
04/09/2019,172992
04/10/2019,163552
04/11/2019,166090
04/12/2019,165523
04/13/2019,129569
04/14/2019,88094
04/15/2019,163843
04/16/2019,165607
04/17/2019,161134
04/18/2019,156662
04/19/2019,144775
04/20/2019,106355
04/21/2019,69334
04/22/2019,158403
04/23/2019,169878
04/24/2019,170475
04/25/2019,152474
04/26/2019,155366
04/27/2019,117646
04/28/2019,75323
04/29/2019,155119
04/30/2019,169965
05/01/2019,165628
05/02/2019,157868
05/03/2019,155269
05/04/2019,123660
05/05/2019,81508
05/06/2019,150068
05/07/2019,155622
05/08/2019,151537
05/09/2019,147297
05/10/2019,146318
05/11/2019,112141
05/12/2019,76627
05/13/2019,149502
05/14/2019,157290
05/15/2019,155003
05/16/2019,155146
05/17/2019,148023
05/18/2019,110530
05/19/2019,78275
05/20/2019,143838
05/21/2019,152526
05/22/2019,148533
05/23/2019,142748
05/24/2019,136386
05/25/2019,106177
05/26/2019,69856
05/27/2019,96542
05/28/2019,156269
05/29/2019,152928
05/30/2019,145814
05/31/2019,145875
06/01/2019,111097
06/02/2019,79271
06/03/2019,149681
06/04/2019,154461
06/05/2019,156616
06/06/2019,155140
06/07/2019,153245
06/08/2019,119570
06/09/2019,81111
06/10/2019,156343
06/11/2019,161723
06/12/2019,149943
06/13/2019,152099
06/14/2019,149654
06/15/2019,111077
06/16/2019,78932
06/17/2019,153244
06/18/2019,165529
06/19/2019,154962
06/20/2019,169976
06/21/2019,164044
06/22/2019,114381
06/23/2019,88098
06/24/2019,154103
06/25/2019,167825
06/26/2019,156197
06/27/2019,154186
06/28/2019,156824
06/29/2019,121634
